Country,NEET_Rate
North Macedonia,30.630555555555556
TÃ¼rkiye,29.953333333333337
Bosnia and Herzegovina,23.677777777777777
Serbia,23.29285714285714
Montenegro,23.123333333333335
Italy,22.96222222222222
Romania,22.386666666666667
Greece,20.495555555555555
Bulgaria,20.47111111111111
Spain,17.773333333333333
Croatia,17.153333333333332
Cyprus,15.884444444444444
Slovakia,15.54
Ireland,15.344444444444445
Latvia,14.346666666666668
Poland,13.613333333333333
Hungary,13.264444444444443
Lithuania,12.673333333333332
Estonia,12.648888888888889
France,12.179365079365079
Portugal,12.011111111111111
Belgium,11.933333333333334
Czechia,11.484444444444444
Malta,10.219999999999999
Finland,10.097777777777777
Germany,10.02
Austria,9.202222222222222
Slovenia,8.697777777777777
Denmark,8.686666666666666
Norway,7.702222222222223
Switzerland,7.3583333333333325
Luxembourg,7.208888888888889
Sweden,6.937777777777778
Iceland,6.502222222222223
Netherlands,6.413333333333334
