Country,Females,Males,Total
Austria,10.0,8.8,9.4
Belgium,9.5,9.8,9.6
Bosnia and Herzegovina,25.9,18.8,22.2
Bulgaria,15.2,12.5,13.8
Croatia,12.7,11.0,11.8
Cyprus,14.8,12.7,13.8
Czechia,15.5,4.6,10.1
Denmark,8.9,8.3,8.6
Estonia,8.9,10.2,9.6
Finland,9.1,9.2,9.2
France,12.5,12.2,12.3
Germany,10.3,7.4,8.8
Greece,17.2,14.6,15.9
Hungary,13.3,8.7,10.9
Iceland,6.3,5.2,5.7
Ireland,8.7,8.3,8.5
Italy,17.8,14.4,16.1
Latvia,10.4,9.6,10.0
Lithuania,14.1,13.0,13.5
Luxembourg,10.0,7.0,8.5
Malta,8.4,6.7,7.5
Netherlands,5.6,4.0,4.8
Norway,6.2,6.6,6.4
Poland,11.5,6.9,9.1
Portugal,8.9,9.0,8.9
Romania,24.8,14.1,19.3
Serbia,16.6,14.0,15.3
Slovakia,12.4,10.0,11.2
Slovenia,9.0,6.7,7.8
Spain,12.3,12.3,12.3
Sweden,5.7,5.6,5.7
Switzerland,7.8,7.5,7.6
TÃ¼rkiye,36.3,15.6,25.8
